RK,TEAM,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,Season
123,Harvard,104.2,99.2,0.6378,53.2,50.6,22.5,18,28.2,22.3,31.5,33.8,51.6,49.7,36.9,34.8,68.7,-3.5,2019
124,Georgia Tech,100,95.2,0.6355,49.2,45.7,21,18.7,25.3,31.6,34.3,34.8,50.7,46.3,30.7,29.7,68.4,-4.4,2019
125,Utah Valley,107.6,102.6,0.6345,55.9,49.1,19.9,16.5,27.8,26.4,41.2,30,54.5,47.5,38.7,34.7,70,-2.3,2019
126,Western Kentucky,104,99.2,0.633,49.9,48.9,19.6,18.5,29.6,28.1,37.9,25.6,50.2,47,32.7,34.5,69.1,-5.4,2019
127,Georgia,105,100.1,0.6322,50.1,48.5,22.5,15.5,32.7,31,41.3,29.9,51.1,47.8,32.2,33.2,70.1,-7.5,2019
128,Austin Peay,110.1,105.7,0.6151,52.9,52.5,16.6,20.8,32.3,30,34.7,34.2,51.1,53.5,37.5,34,70.4,-5.2,2019
129,Central Michigan,109.4,105.1,0.6134,51.1,49.8,16.2,18.7,31.4,32.9,40.3,29,48.6,53.6,36.9,28.8,72.2,-3.9,2019
130,Jacksonville St.,103.4,99.5,0.6088,50.5,48.7,18.8,20.4,33,25.6,30.2,30.1,52.3,47.7,31,33.3,69.1,-3.4,2019
131,College of Charleston,106.9,103,0.6057,54.2,52.1,15.6,19.1,25.6,25.9,33.5,26.4,56.3,53.7,33.7,33.3,66.8,-3,2019
132,Rhode Island,103.7,99.9,0.6039,47.4,48.7,17.8,20.2,31.3,27.9,36.8,35.7,50,48.8,28,32.3,68.9,-6.7,2019
133,Stanford,101.5,97.8,0.6036,51.2,47.9,20.8,17.2,29.9,28.3,36.1,32.9,53.2,46.4,31.7,34.5,71.2,-6,2019
134,UTSA,105.3,101.6,0.6031,49.5,49.5,16.4,18.1,26.1,28.4,26.2,35.6,48,50,34.3,32.5,73.3,-7.7,2019
135,Loyola Marymount,102.9,99.4,0.6,49.7,49.9,19.7,21.2,29.6,26.9,39.2,35.9,50.8,50.6,31.3,32.6,64.3,-4,2019
136,Texas St.,100.9,97.6,0.5935,50,48.2,19.6,21,32.9,24.6,34.5,38.8,50.7,48.8,32.5,31.5,66.5,-3.3,2019
137,Montana ,106.6,103.3,0.59,56.7,50,17.4,19.3,27.7,25,32,37,56.2,49,38.3,34.6,67.9,-3.3,2019
138,Kent St.,108.8,105.5,0.5895,49.5,52.3,16.4,19.1,33.2,30.7,32.4,36.2,49.2,53.1,33.4,34,68.9,-2.7,2019
139,Colgate ,108.8,105.6,0.5837,55.9,50.6,19.3,18,30.3,26.9,28.9,28.6,53.9,50.4,39.1,33.9,68,-4.4,2019
140,Ball St.,100.5,97.7,0.5806,51.8,47.3,20.2,17.9,27.5,28.6,37.6,30.4,53.5,46.8,32.2,32.1,71.6,-8.6,2019
141,Louisiana Monroe,111.4,108.6,0.5726,53.8,52.9,16.2,17.4,26.7,28.7,36.4,29.1,49.3,52.6,39.6,35.6,67.7,-7.5,2019
142,Samford,105.7,103.3,0.5663,54.1,49.6,19.3,18.1,28.1,31.2,33.9,28.3,53,47.3,37.3,35.1,70.5,-8.7,2019
143,UT Arlington,100.6,98.7,0.5559,47,48,20.3,18.1,31,28,34.5,38,47.9,50,30.5,29.9,67.9,-7.5,2019
144,Miami OH,103.2,101.2,0.555,48.6,51.1,18.7,16.7,30,25.3,34.7,33.9,48.7,51.3,32.3,33.9,67.5,-8.7,2019
145,Radford,106.7,104.8,0.552,52.8,51.9,16.4,18.1,29.7,24.9,27,30.7,50.1,51.7,38,34.7,65.8,-4.7,2019
146,Northern Illinois,106.5,104.6,0.5511,52.6,51.9,17.2,17.9,27.2,26.7,26.5,39.1,51.6,50,36.5,36.1,67.3,-8.9,2019
147,UAB,106,104.3,0.5476,50.6,49.1,16.9,18,30.5,26.5,31.7,31.3,51.6,48.2,32.4,33.5,66.3,-7.3,2019
148,Pepperdine,106.8,105.1,0.5466,52,53.9,18,20.9,24.9,29.5,35.7,35.7,48.4,54.9,37.9,34.8,71.8,-9.8,2019
149,Abilene Christian ,101.9,100.3,0.5444,52.4,49.6,17.4,23.4,27.7,27.8,34.5,38.4,49.8,49.2,38.3,33.5,67.1,-2.6,2019
150,Brown,97.4,95.9,0.544,50,47.7,20.2,21.3,24.7,26.9,36.8,31.5,50.2,50.3,33.2,29.5,72.3,-5.7,2019
151,Louisiana Tech,103.1,101.6,0.5424,49.8,49.3,17,19.2,29.4,28.8,35.9,30.2,49.3,49.1,33.7,33,66.9,-6.9,2019
152,Coastal Carolina,104.4,103.3,0.5306,51.2,50.8,20.3,18.2,32.2,28.5,41.2,43.3,49.1,52.8,36.5,32.3,70.8,-10,2019
153,Wake Forest,103.8,102.9,0.5265,44.8,53.3,19.4,16.1,33.9,27.3,37.6,35.2,44.1,54.7,30.8,34.1,68.8,-7.1,2019
154,Florida Atlantic,98.6,98,0.5178,47.9,48,20.7,18.1,29,25.2,28.6,32.1,47.3,47.9,32.5,32.1,68.8,-9,2019
155,Bucknell,104,103.4,0.516,53,49.2,17.3,16.6,25.8,27.6,33.9,32.4,53.3,48.8,35.1,33.3,71.9,-5.6,2019
156,Richmond,108.1,107.5,0.5146,54.1,53.1,15.3,18.5,19.1,29.9,30.7,28.7,55.5,54,34.7,34.4,67.2,-13.4,2019
157,Eastern Michigan,101.8,101.5,0.5091,48.5,50.8,20.8,20.1,34.3,34.9,33.9,32,50.5,50.4,29.9,34.2,64.3,-8,2019
158,Vanderbilt,100.4,100.2,0.5055,48.6,49.5,20.5,16.4,29,29.3,40.6,33.3,50,48,31.1,34.9,68.9,-9.1,2019
159,North Texas,97.4,97.3,0.502,49.2,47.4,20.1,19.8,30.7,24.4,27.7,37.7,50.5,46.4,31.7,32.8,66.8,-7,2019
160,Saint Joseph's,105.3,105.3,0.4999,48,51.7,13.5,15.7,22,24.4,31.7,27.1,47.8,49.9,32.2,36,69.8,-10.5,2019
161,Louisiana Lafayette,106.6,106.8,0.4955,50.9,53.2,17.4,20,29.1,31.9,35.1,36.9,50.5,52.3,34.2,36.6,73.4,-6.4,2019
162,Seattle,99.9,100.2,0.4925,49.2,46.4,17.4,16.1,28.8,26.8,34.3,39.2,46.1,44.6,36.9,33.5,68.8,-8.9,2019
163,Sam Houston St.,105.5,105.8,0.4911,51.8,50.9,18.2,21.4,29.8,28.4,26.8,43.1,48.2,50.6,37.7,34.3,67.6,-6.5,2019
164,Princeton,97.8,98.1,0.4903,47,49.7,17.8,17.2,24.3,24.7,29.8,28.7,48.1,50.3,30.3,32.5,68.7,-5.6,2019
165,Bradley ,100.5,100.9,0.4882,49.7,47.6,18.9,18.6,27.1,26.7,36.3,35.3,46.7,46.4,36.8,33,66.4,-8,2019
166,Duquesne,103.8,104.3,0.4873,49.9,49.9,19.8,21.6,31.9,35.1,35,31.9,51.1,49.5,32.2,33.8,71,-6.6,2019
167,Oakland,106.3,107,0.4816,54.3,53,18.4,17.2,25.7,32.5,35.7,28,52.3,53.2,37.9,35.2,69.7,-10.5,2019
168,Fort Wayne,106.6,107.3,0.4808,55.8,54,16.8,17.1,23.1,28.6,26.9,25,55.8,52,37.2,38,73.1,-9.6,2019
169,UNLV,104.7,105.4,0.4805,49.5,51,18.6,17.6,35.5,27.7,34.9,31.6,48.8,49.7,33.7,35.7,69.1,-7.5,2019
170,Southern Illinois,101.8,102.5,0.4798,52.8,49.6,21,19.1,28.8,29.2,32,25.6,51.2,47.6,37.4,35.1,67.2,-8.3,2019
171,Missouri St.,101.7,102.5,0.4798,51.2,53.5,18.2,21.8,25.4,25.3,36.9,35,51.4,49.4,33.9,40.3,67.4,-10,2019
172,Northern Colorado,102.1,102.9,0.4789,53,51.4,18.4,18.6,27.7,25.6,34.8,28.4,53.6,49.5,34.9,37.1,67.9,-6.7,2019
173,Lehigh,107.4,108.2,0.4786,56.4,50.2,18.5,15.6,23.5,27.5,34.9,30.5,51.9,49.9,42.4,33.8,72.9,-5.5,2019
174,George Mason,102.8,103.6,0.4773,50.1,50.2,18.9,18.2,29,27.2,34.2,30.6,50.5,51.6,33,32,69.2,-6.8,2019
175,Northern Iowa,100.5,101.3,0.4769,48.9,51.1,17.9,18.2,23.2,23.1,27.6,32.4,46.2,51,35,34.2,65.6,-11.1,2019
